Name,Latitude,Longitude
Hollywood Burbank Airport,34.2031703,-118.35917241746948
Santa Monica Municipal Airport,34.0165213,-118.45070484222444
Los Angeles International Airport,33.94216754999999,-118.42139298414197
Hawthorne Municipal Airport,33.92297035,-118.33520891054124
Compton / Woodley Airport,33.8901891,-118.24383859191941
Whiteman Airport,34.261339750000005,-118.41439944181049
San Gabriel Valley Airport,34.0862015,-118.03297965156801
Van Nuys Airport,34.20713175,-118.49014837369748
Long Beach Airport,33.815565899999996,-118.15342922166721
Zamperini Field,33.8027967,-118.34003744467967
