key,value
"Anti-Black or African American",47
"Anti-Gay (Male)",34
"Anti-Jewish",22
"Anti-Hispanic or Latino",14
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",10
"Anti-Asian",9
"Anti-White",8
"Anti-Islamic (Muslim)",5
"Anti-Arab",3
"Anti-Transgender",3
"Anti-Lesbian (Female)",3
"Anti-Other Religion",3
"Anti-Catholic",3
"Anti-Multiple Races, Group",2
"Anti-Other Race/Ethnicity/Ancestry",1
"Anti-Atheism/Agnosticism",1
"Anti-Mormon",1
"Anti-Bisexual",1
"Anti-Physical Disability",1
"Anti-Gender Non-Conforming",1
"Multiple Bias",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-American Indian or Alaska Native",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Female",0
